Fileid,tyä,vyä,vyö,wyö,ye,yo,yy,yyv,yyw,yä,yäp,yäs,yäse,yö,yöp,yöpi
01a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714286,0.0,0.0,0.0,0.0,0.678571,0.0892857,0.0892857
01b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576923,0.0,0.0,0.0,0.0,0.75,0.0576923,0.0576923
02a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.947368,0.0,0.0,0.0,0.0,0.0,0.0
02b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.913043,0.0,0.0,0.0,0.0,0.0,0.0
03a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
03b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
04a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.08,0.0,0.0,0.0,0.0,0.0
04b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
05a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.921053,0.0,0.0,0.0,0.0,0.0,0.0
05b,0.0689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931035,0.0,0.0,0.0,0.0,0.0,0.0
06a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.864865,0.0540541,0.0540541
06b,0.0,0.0,0.0,0.0,0.0,0.0,0.0769231,0.0,0.0,0.0,0.0,0.0,0.0,0.923077,0.0,0.0
07a,0.0,0.0,0.0,0.0,0.0,0.0,0.107692,0.0,0.0,0.0,0.0,0.0,0.0,0.830769,0.0,0.0
07b,0.0,0.0,0.0,0.0,0.0,0.0,0.103448,0.0,0.0,0.0,0.0,0.0,0.0,0.896552,0.0,0.0
08a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
08b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
09a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.814815,0.0740741,0.0
09b,0.0,0.0,0.0,0.0,0.0,0.0,0.0606061,0.0,0.0,0.0,0.0,0.0,0.0,0.757576,0.181818,0.0
10a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.956522,0.0,0.0
10b,0.0,0.0,0.0,0.0,0.0,0.0,0.103448,0.0,0.0,0.0,0.0,0.0,0.0,0.827586,0.0,0.0
11a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.883721,0.0,0.0
12b,0.0,0.0,0.0,0.0,0.0,0.0,0.0645161,0.0,0.0,0.0,0.0,0.0,0.0,0.935484,0.0,0.0
13a,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.90625,0.0,0.0
13b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962963,0.0,0.0
14a,0.0,0.0,0.0,0.0,0.0,0.0,0.0909091,0.0,0.0,0.0,0.0,0.0,0.0,0.836364,0.0,0.0
14b,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.916667,0.0,0.0
15a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.969697,0.0,0.0
16a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17a,0.0,0.0,0.0,0.0,0.0,0.0,0.0714286,0.0,0.0,0.0,0.0,0.0,0.0,0.880952,0.0,0.0
17b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.956522,0.0,0.0
18b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.981481,0.0,0.0
19a,0.0,0.0,0.0,0.0,0.0,0.0,0.0526316,0.0,0.0,0.0,0.0,0.0,0.0,0.921053,0.0,0.0
19b,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
20a,0.0,0.0,0.0,0.0,0.0677966,0.0,0.0,0.0,0.0,0.830508,0.0,0.0,0.0,0.101695,0.0,0.0
20b,0.0,0.0,0.0,0.0,0.0909091,0.0,0.0,0.0,0.0,0.909091,0.0,0.0,0.0,0.0,0.0,0.0
21a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0
21b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.823529,0.0,0.0588235,0.0588235,0.0,0.0,0.0
22a,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
22b,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
23a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911111,0.0,0.0,0.0,0.0888889,0.0,0.0
23b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862745,0.0,0.0,0.0,0.0588235,0.0,0.0
24a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.961538,0.0,0.0
25a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.903226,0.0,0.0,0.0,0.0,0.0,0.0
25b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95082,0.0,0.0
26b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138889,0.0,0.0,0.0,0.0,0.0,0.851852,0.0,0.0
27a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967742,0.0,0.0,0.0,0.0,0.0,0.0
27b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.826087,0.0,0.0
28b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725,0.125,0.125
29a,0.0,0.0,0.0,0.0,0.0,0.0,0.0869565,0.0,0.0,0.0,0.0,0.0,0.0,0.913043,0.0,0.0
29b,0.0,0.0,0.0,0.0,0.0,0.0,0.0645161,0.0,0.0,0.0,0.0,0.0,0.0,0.935484,0.0,0.0
30a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.947368,0.0,0.0,0.0,0.0,0.0,0.0
30b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
31a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952381,0.0,0.0
31b,0.0,0.0,0.0,0.0,0.0,0.0,0.12766,0.0,0.0,0.0,0.0,0.0,0.0,0.87234,0.0,0.0
32a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.131868,0.0,0.0,0.0,0.0,0.0,0.0,0.868132,0.0,0.0
35a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896552,0.0,0.0
35b,0.0,0.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.214286,0.0,0.0,0.0,0.571429,0.0714286,0.0
36a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911765,0.0882353,0.0
37a,0.0,0.0,0.0,0.0,0.0,0.227273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.772727,0.0,0.0
37b,0.0,0.0,0.0,0.0,0.0,0.702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.297297,0.0,0.0
38a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833333,0.0,0.0833333,0.0833333,0.0,0.0,0.0
38b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39a,0.0,0.0,0.0,0.0,0.0,0.181818,0.212121,0.0,0.0,0.0,0.0,0.0,0.0,0.575758,0.0,0.0
39b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.878788,0.0,0.0
40a,0.0,0.0,0.0,0.0,0.0,0.294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676471,0.0,0.0
40b,0.0,0.0,0.0,0.0,0.0,0.169811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.811321,0.0,0.0
41a,0.0,0.0,0.0,0.0,0.0,0.928571,0.0,0.0,0.0,0.0714286,0.0,0.0,0.0,0.0,0.0,0.0
41b,0.0,0.0,0.0,0.0,0.0,0.454545,0.0,0.0,0.0,0.545455,0.0,0.0,0.0,0.0,0.0,0.0
42a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941176,0.0,0.0
42b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.956522,0.0,0.0
43a,0.0,0.0,0.0,0.0,0.0,0.0,0.0983607,0.0,0.0,0.0,0.0,0.0,0.0,0.836066,0.0,0.0
43b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.960784,0.0,0.0
44b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909091,0.0,0.0
45b,0.0,0.0,0.0,0.0,0.0,0.888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.0
46a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
46b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.965517,0.0,0.0
47a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48a,0.0,0.0,0.137255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.784314,0.0,0.0
48b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0571429,0.0,0.0,0.0,0.0,0.0,0.771429,0.0857143,0.0857143
49a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
49b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50a,0.0,0.0588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941176,0.0,0.0,0.0,0.0,0.0,0.0
50b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928571,0.0,0.0,0.0,0.0,0.0,0.0
